Front (English),Back (Hebrew),Transliteration,Other forms,Mnemonic,Example (Hebrew),Example (translit),Example (English),Category,Day
Meal,אֲרוּחָה,Arucha,pl. Aruchot אֲרוּחוֹת,"a-ROO-cha — arucha sounds like ""a ROUTINE"" — the routine three a day. Arucḥat boker = breakfast.",אֲרוּחַת עֶרֶב בִּשְׁמוֹנֶה.,Aruchat erev be-shmoneh.,Dinner is at eight.,Nouns · Food,88
Dessert,קִנּוּחַ,Kinuach,,"kee-NOO-ach — from lekanach, ""to wipe clean"": dessert is what wipes the meal clean at the end.",מָה יֵשׁ לְקִנּוּחַ?,Ma yesh le-kinuach?,What's for dessert?,Nouns · Food,88
Sweetener / something sweet,מַמְתִּיק / מַמְתִּיקָה,Mamtik / Mamtika,pl. Mamtikim / Mamtikot מַמְתִּיקִים / מַמְתִּיקוֹת,"mam-TEEK — from matok (sweet). The ma- prefix means ""the thing that makes it so"": the sweetener.",אֲנִי לֹא שָׂם מַמְתִּיק בַּקָּפֶה.,Ani lo sam mamtik ba-kafe.,I don't put sweetener in my coffee.,Nouns · Food,88
Sauce / gravy,רוֹטֶב,Rotev,pl. Rotavim רְטָבִים,"RO-tev — from ratuv, ""wet"". Sauce is the wet stuff.",הָרוֹטֶב חָרִיף מִדַּי בִּשְׁבִילִי.,Ha-rotev charif mid'i bishvili.,The sauce is too spicy for me.,Nouns · Food,88
Piece,חֲתִיכָה,Chatichа,pl. Chatichot חֲתִיכוֹת,"cha-tee-CHA — from lachtoch, ""to cut"": a piece is a cut-off bit. Slang warning: calling a person a chatich(a) means ""hottie"".",אֲנִי רוֹצָה עוֹד חֲתִיכַת עוּגָה.,Ani rotza od chatichat uga.,I want another piece of cake.,Nouns · Food,88
To meet (up with),נִפְגָּשׁ / נִפְגֶּשֶׁת,Nifgash / Nifgeshet,inf. Le-hipagesh לְהִפָּגֵשׁ,nif-GASH — two people meet and GASH into each other. Pgisha = a meeting.,אֲנַחְנוּ נִפְגָּשִׁים בְּבֵית קָפֶה בְּאַרְבַּע.,Anachnu nifgashim ba-beit kafe be-arba.,We're meeting at a café at four.,Verbs · Social,89
To visit,מְבַקֵּר / מְבַקֶּרֶת,Mevaker / Mevakeret,inf. Le-vaker לְבַקֵּר,"me-va-KER — you drive your CAR to visit. Bikur = a visit; careful, mevaker also means ""criticizes"".",אֲנִי מְבַקֶּרֶת אֶת הַמִּשְׁפָּחָה בְּחֵיפָה.,Ani mevakeret et ha-mishpacha be-Chaifa.,I'm visiting the family in Haifa.,Verbs · Social,89
To help,עוֹזֵר / עוֹזֶרֶת,Ozer / Ozeret,inf. La-azor לַעֲזוֹר,"oh-ZER — ""Oh, ZORRO to the rescue!"" Ezra = help; ozeret also means ""housekeeper"".",אַתָּה יָכוֹל לַעֲזוֹר לִי בְּבַקָּשָׁה?,Ata yachol la'azor li bevakasha?,Can you help me please?,Verbs · Social,89
To support,תּוֹמֵךְ / תּוֹמֶכֶת,Tomech / Tomechet,inf. Lit-moch לִתְמוֹךְ,TO-mech — a support beam holds up the TOMB. Tmicha = support.,הַהוֹרִים תּוֹמְכִים בַּהַחְלָטָה שֶׁלָּהּ.,Ha-horim tomchim ba-hachlata shela.,The parents support her decision.,Verbs · Social,89
To guard / to watch over,שׁוֹמֵר / שׁוֹמֶרֶת,Shomer / Shomeret,inf. Lish-mor לִשְׁמוֹר,"SHO-mer — a shomer stands at every Israeli mall entrance. ""Show, MORE security.""",הַשּׁוֹמֵר שׁוֹמֵר עַל הַכְּנִיסָה.,Ha-shomer shomer al ha-knisa.,The guard watches over the entrance.,Verbs · Social,89
Beverage / drink,מַשְׁקֶה,Mashke,pl. Mashkaot מַשְׁקָאוֹת,"mash-KEH — from lehashkot, ""to give drink"". Related to the mashkeh (cupbearer) in the Joseph story.",מָה אַתָּה רוֹצֶה לִשְׁתּוֹת? יֵשׁ מַשְׁקָאוֹת קָרִים.,Ma ata rotze lishtot? Yesh mashkaot karim.,What do you want to drink? There are cold drinks.,Nouns · Food,92
Alcoholic beverage,מַשְׁקֶה חָרִיף,Mashke charif,pl. Mashkaot charifim מַשְׁקָאוֹת חֲרִיפִים,"charif means ""sharp/spicy"" — so alcohol is literally ""a sharp drink"". Same word you'd use for spicy food.",הוּא לֹא שׁוֹתֶה מַשְׁקָאוֹת חֲרִיפִים.,Hu lo shote mashkaot charifim.,He doesn't drink alcoholic beverages.,Nouns · Food,92
Juice,מִיץ,Mitz,,MEETS — juice that MEETS your thirst. Short and easy.,"מִיץ תַּפּוּזִים טָרִי, בְּבַקָּשָׁה.","Mitz tapuzim tari, bevakasha.","Fresh orange juice, please.",Nouns · Food,92
Menu,תַּפְרִיט,Tafrit,pl. Tafritim תַּפְרִיטִים,"taf-REET — from prat, ""a detail"": a menu is the itemized list of details.",הַמֶּלְצַר נוֹתֵן לָנוּ תַּפְרִיט.,Ha-meltzar noten lanu tafrit.,The waiter gives us a menu.,Nouns · Food,92
Recipe,מַתְכּוֹן,Matkon,pl. Matkonim מַתְכּוֹנִים,"mat-KON — from tochen, ""content"": a recipe is the ""contents plan"". Sounds like ""MAT-CON"" — matching the contents.",זֶה מַתְכּוֹן שֶׁל סָבְתָא שֶׁלִּי.,Ze matkon shel savta sheli.,This is my grandmother's recipe.,Nouns · Food,92
Ingredient / commodity,מִצְרָךְ,Mitzrach,pl. Mitzrachim מִצְרָכִים,"mits-RACH — from tzarich, ""needed"": an ingredient is literally ""a needed thing"". Mitzrachim = groceries.",קָנִיתִי אֶת כָּל הַמִּצְרָכִים לַמַּתְכּוֹן.,Kaniti et kol ha-mitzrachim la-matkon.,I bought all the ingredients for the recipe.,Nouns · Food,92
Before,לִפְנֵי,Lifnei,,"lif-NEI — from panim, ""face"": before = in front of the face of. Works for time and place both.",אֲנִי מְצַחְצֵחַ שִׁנַּיִם לִפְנֵי הַשֵּׁנָה.,Ani mitzachtzeach shinayim lifnei ha-sheina.,I brush my teeth before sleep.,Connectors · Position,93
After,אַחֲרֵי,Acharei,,a-cha-REI — same family as acharon (last) and me'uchar (late). The pair to lifnei.,נְדַבֵּר אַחֲרֵי הָאֲרוּחָה.,Nedaber acharei ha-arucha.,We'll talk after the meal.,Connectors · Position,93
Between,"בֵּין / בֵּינִי, בֵּינְךָ","Bein / Beini, Beincha…",,"BEIN — ""BETWEEN"" even starts the same way. Bein…le-bein… = ""between X and Y"". It takes personal endings: beini u-veincha = ""between me and you"".",מָה הַהֶבְדֵּל בֵּין הַשְּׁנַיִם?,Ma ha-hevdel bein ha-shnayim?,What's the difference between the two?,Connectors · Position,93
Underneath / below,מִתַּחַת (לְ),Mitachat (le-),,"mi-TA-chat — from tachat, ""under"". Always followed by le-: mitachat la-shulchan.",הֶחָתוּל מִתַּחַת לַמִּטָּה.,Ha-chatul mitachat la-mita.,The cat is under the bed.,Connectors · Position,93
Opposite / in front of / facing,מוּל,Mul,,"MOOL — you stand ""MULL-ing"" it over, face to face. Mul ha-bayit = across from the house.",הַחֲנוּת מוּל הַתַּחֲנָה.,Ha-chanut mul ha-tachana.,The store is opposite the station.,Connectors · Position,93
Place,מָקוֹם,Makom,pl. Mekomot מְקוֹמוֹת,"ma-KOM — from lakum (to rise/stand): a place is where something stands. Ha-Makom (""The Place"") is even a name for God.",זֶה מָקוֹם נֶחְמָד לָאֲרוּחָה.,Ze makom nechmad la-arucha.,This is a nice place for a meal.,Nouns · Places,94
City,עִיר,Ir,pl. Arim עָרִים,EER — you HEAR the city. Iriya = the city hall. Note the vowel change in the plural: ir → arim.,תֵּל אָבִיב עִיר גְּדוֹלָה וְרַעֲשָׁנִית.,Tel Aviv ir gdola ve-ra'ashanit.,Tel Aviv is a big and noisy city.,Nouns · Places,94
Country / land,אֶרֶץ,Eretz,pl. Aratzot אֲרָצוֹת,"EH-rets — Eretz Yisrael. Artzot ha-Brit (""lands of the covenant"") = the United States.",בְּאֵיזוֹ אֶרֶץ אַתְּ גָּרָה?,Be-eize eretz at gara?,Which country do you live in?,Nouns · Places,94
Address,כְּתֹבֶת,Ktovet,pl. Ktovot כְּתֹבוֹת,"kto-VET — from lichtov (to write): an address is ""the written thing"". Also means a tattoo or an inscription.",מָה הַכְּתֹבֶת שֶׁל הַמִּשְׂרָד?,Ma ha-ktovet shel ha-misrad?,What's the office's address?,Nouns · Places,94
Road / way / path,דֶּרֶךְ,Derech,pl. Drachim דְּרָכִים,"DEH-rech — ""derech eretz"" means good manners, literally ""the way of the land"". Also used for ""via / by way of"".",הַדֶּרֶךְ לַיָּם אֲרֻכָּה.,Ha-derech la-yam aruka.,The road to the sea is long.,Nouns · Places,94
To work,עוֹבֵד / עוֹבֶדֶת,Oved / Ovedet,inf. La-avod לַעֲבוֹד,"oh-VED — an OVERWORKED employee. Avoda = work; the root a-v-d also gave us ""slave"" (eved).",הִיא עוֹבֶדֶת בְּמִשְׂרָד גָּדוֹל.,Hi ovedet be-misrad gadol.,She works in a big office.,Verbs · Money & work,95
To pay,מְשַׁלֵּם / מְשַׁלֶּמֶת,Meshalem / Meshalemet,inf. Le-shalem לְשַׁלֵּם,me-sha-LEM — paying makes things SHALEM (whole/complete) — same root as shalom. You settle the debt.,אֲנִי מְשַׁלֵּם בְּכַרְטִיס אַשְׁרַאי.,Ani meshalem be-cartis ashrai.,I'm paying by credit card.,Verbs · Money & work,95
To buy,קוֹנֶה / קוֹנָה,Kone / Kona,inf. Lik-not לִקְנוֹת,"KO-neh — you buy an ice cream CONE, eh? Kniya = a purchase; kniyot = shopping.",אֲנַחְנוּ קוֹנִים יְרָקוֹת בַּשּׁוּק.,Anachnu konim yerakot ba-shuk.,We buy vegetables at the market.,Verbs · Money & work,95
To receive / to get,מְקַבֵּל / מְקַבֶּלֶת,Mekabel / Mekabelet,inf. Le-kabel לְקַבֵּל,"me-ka-BEL — the Kabbalah is ""the received tradition"". Kabbala is also the receipt you get at a shop.",אֲנִי מְקַבֵּל מִכְתָּב.,Kibalti matana yafa. / Ani mekabel michtav.,I'm receiving a letter.,Verbs · Money & work,95
To choose,בּוֹחֵר / בּוֹחֶרֶת,Bocher / Bocheret,inf. Liv-chor לִבְחוֹר,BO-cher — you choose a BACHELOR from the lineup. Bechira = choice/election.,קָשֶׁה לִי לִבְחוֹר מֵהַתַּפְרִיט.,Kashe li livchor mi-ha-tafrit.,It's hard for me to choose from the menu.,Verbs · Money & work,95
Store / shop,חֲנוּת,Chanut,pl. Chanuyot חֲנוּיוֹת,"cha-NOOT — a shop where you HAND OUT goods. Sounds like ""HA-noot"".",הַחֲנוּת סְגוּרָה בְּשַׁבָּת.,Ha-chanut sgura be-shabbat.,The store is closed on Saturday.,Nouns · Places,96
Office,מִשְׂרָד,Misrad,pl. Misradim מִשְׂרָדִים,mis-RAD — the mi- place-prefix again + sherut (service). A misrad is also a government ministry.,אֲנִי עוֹבֵד בַּמִּשְׂרָד מִתֵּשַׁע עַד חָמֵשׁ.,Ani oved ba-misrad me-tesha ad chamesh.,I work in the office from nine to five.,Nouns · Places,96
School,בֵּית סֵפֶר,Beit sefer,pl. Batei sefer בָּתֵּי סֵפֶר,"Literally ""house of book"". Bayit becomes beit when glued to another noun — beit cholim (hospital, ""house of the sick""), beit kafe (café).",הַיְּלָדִים הוֹלְכִים לְבֵית סֵפֶר בַּבֹּקֶר.,Ha-yeladim holchim le-beit sefer ba-boker.,The children go to school in the morning.,Nouns · Places,96
Library,סִפְרִיָּה,Sifria,pl. Sifriyot סִפְרִיּוֹת,"sif-ree-YA — from sefer (book) + the -iya ending Hebrew uses for shops and places: sifriya, pitzeriya, mispara (barber).",אֲנִי מַחְזִירָה סְפָרִים לַסִּפְרִיָּה.,Ani machzira sfarim la-sifria.,I'm returning books to the library.,Nouns · Places,96
Hotel,מָלוֹן,Malon,pl. Melonot מְלוֹנוֹת,"ma-LON — from lalun, ""to stay the night"". Careful: malon = hotel, melon = the fruit.",הִזְמַנְתִּי חֶדֶר בַּמָּלוֹן לְשָׁלוֹשׁ לֵילוֹת.,Hazmanti cheder ba-malon le-shalosh laylot.,I booked a room at the hotel for three nights.,Nouns · Places,96
Fast / quick,מָהִיר / מְהִירָה,Mahir / Mehira,pl. Mehirim / Mehirot מְהִירִים / מְהִירוֹת,"ma-HEER — maher is the adverb, ""quickly"": ""Bo maher!"" = ""Come quickly!""",הָרַכֶּבֶת מְהִירָה מֵהָאוֹטוֹבּוּס.,Ha-rakevet mehira me-ha-otobus.,The train is faster than the bus.,Adjectives · Qualities,99
Slow,אִטִּי / אִטִּית,Iti / Itit,pl. Itiyim / Itiyot אִטִּיִּים / אִטִּיּוֹת,"ee-TEE — the adverb is le'at, ""slowly"": ""Le'at, le'at"" = ""Slowly, slowly"" — a very Israeli piece of advice.",הָאִינְטֶרְנֶט פֹּה אִטִּי מְאוֹד.,Ha-internet po iti me'od.,The internet here is very slow.,Adjectives · Qualities,99
Close / near,קָרוֹב / קְרוֹבָה,Karov / Krova,pl. Krovim / Krovot קְרוֹבִים / קְרוֹבוֹת,"ka-ROV — a krov mishpacha is a relative — someone ""close"". Also from lekarev, to bring near.",הַחֲנוּת קְרוֹבָה לַבַּיִת.,Ha-chanut krova la-bayit.,The store is close to the house.,Adjectives · Qualities,99
Far,רָחוֹק / רְחוֹקָה,Rachok / Rechoka,pl. Rechokim / Rechokot רְחוֹקִים / רְחוֹקוֹת,"ra-CHOK — sounds like a long throw: ""ra-CHOOOK"". The opposite of karov.",נְמַל הַתְּעוּפָה רָחוֹק מִפֹּה.,Ha-nemal te'ufa rachok me-po.,The airport is far from here.,Adjectives · Qualities,99
Straight / straight ahead,יָשָׁר,Yashar,pl. Yesharim / Yesharot יְשָׁרִים / יְשָׁרוֹת,"ya-SHAR — Yisrael means ""one who wrestles with God"", but yashar on its own means straight and upright. Directions: ""Tamshich yashar!""",תַּמְשִׁיךְ יָשָׁר וְאָז שְׂמֹאלָה.,Tamshich yashar ve-az smola.,Continue straight and then left.,Adjectives · Qualities,99
Airport,נְמַל תְּעוּפָה,Nemal te'ufa,pl. Nimlei te'ufa נִמְלֵי תְּעוּפָה,"namal = a port, te'ufa = flying. An airport is literally ""a port of flight"".",אֲנַחְנוּ מַגִּיעִים לִנְמַל הַתְּעוּפָה בְּאַרְבַּע.,Anachnu magi'im le-nemal ha-te'ufa be-arba.,We arrive at the airport at four.,Nouns · Places,100
Station / stop,תַּחֲנָה,Tachana,pl. Tachanot תַּחֲנוֹת,"ta-cha-NA — from lachanot, ""to encamp"": a station is where you camp for a moment. Tachana merkazit = central bus station.",הַתַּחֲנָה הַבָּאָה הִיא שֶׁלִּי.,Ha-tachana ha-ba'a hi sheli.,The next stop is mine.,Nouns · Places,100
Passport,דַּרְכּוֹן,Darkon,pl. Darkonim דַּרְכּוֹנִים,"dar-KON — from derech (road/way): a passport is your ""road document"".",אַל תִּשְׁכַּח אֶת הַדַּרְכּוֹן בַּבַּיִת!,Al tishkach et ha-darkon ba-bayit!,Don't forget your passport at home!,Nouns · Places,100
Trip / hike,טִיּוּל,Tiyul,pl. Tiyulim טִיּוּלִים,tee-YOOL — Israelis are obsessed with the tiyul. It covers everything from a stroll to a six-month backpacking trek.,אֲנַחְנוּ עוֹשִׂים טִיּוּל בַּצָּפוֹן.,Anachnu osim tiyul ba-tzafon.,We're taking a trip in the north.,Nouns · Places,100
Traffic / movement,תְּנוּעָה,Tnu'a,,"tnu-A — from lanua, ""to move"". Also means a political or youth movement, and a Hebrew vowel.",יֵשׁ הַרְבֵּה תְּנוּעָה בַּבֹּקֶר.,Yesh harbeh tnu'a ba-boker.,There's a lot of traffic in the morning.,Nouns · Places,100
To rent (from someone),שׂוֹכֵר / שׂוֹכֶרֶת,Socher / Socheret,inf. Lis-kor לִשְׂכּוֹר,SO-cher — you're the one who SEARCHES for a place. S-ch-r = wages/hire. This is the tenant's verb.,אֲנַחְנוּ שׂוֹכְרִים דִּירָה בְּתֵל אָבִיב.,Anachnu socharim dira be-Tel Aviv.,We're renting an apartment in Tel Aviv.,Verbs · Money & work,101
To rent out (to someone),מַשְׂכִּיר / מַשְׂכִּירָה,Maskir / Maskira,inf. Le-haskir לְהַשְׂכִּיר,mas-KEER — the ma-/me- prefix makes it causative: you CAUSE someone to rent. This is the landlord's verb.,הוּא מַשְׂכִּיר אֶת הַדִּירָה לְסְטוּדֶנְטִים.,Hu maskir et ha-dira le-studentim.,He rents out the apartment to students.,Verbs · Money & work,101
To return (something),מַחְזִיר / מַחְזִירָה,Machzir / Machzira,inf. Le-hachzir לְהַחְזִיר,mach-ZEER — chozer = you go back; machzir = you SEND something back. Same pattern as socher/maskir.,אֲנִי מַחְזִירָה אֶת הַסֵּפֶר לַסִּפְרִיָּה.,Ani machzira et ha-sefer la-sifria.,I'm returning the book to the library.,Verbs · Money & work,101
To keep / to save,שׁוֹמֵר / שׁוֹמֶרֶת,Shomer / Shomeret,inf. Lish-mor לִשְׁמוֹר,"Same verb as ""to guard"" — in Hebrew, keeping and guarding are one idea. Lishmor al = to take care of.",אֲנִי שׁוֹמֶרֶת אֶת הַקַּבָּלוֹת.,Ani shomeret et ha-kabalot.,I keep the receipts.,Verbs · Money & work,101
To steal,גּוֹנֵב / גּוֹנֶבֶת,Gonev / Gonevet,inf. Lig-nov לִגְנוֹב,"GO-nev — a GONIF is Yiddish for a thief, straight from this Hebrew root. ""Lo tignov"" = Thou shalt not steal.",מִישֶׁהוּ גָּנַב לִי אֶת הָאוֹפַנַּיִם.,Mishehu ganav li et ha-ofanayim.,Someone stole my bicycle.,Verbs · Money & work,101
Entrance,כְּנִיסָה,Knisa,pl. Knisot כְּנִיסוֹת,"knee-SA — from lehikanes, ""to enter"". You'll see כניסה on every doorway in Israel.",הַכְּנִיסָה לַמּוּזֵאוֹן חִנָּם.,Ha-knisa la-muzeon chinam.,Entrance to the museum is free.,Nouns · Places,102
Exit,יְצִיאָה,Yetzia,pl. Yetziot יְצִיאוֹת,yetz-ee-A — from latzet (to go out). Yetziat Mitzrayim = the Exodus from Egypt. Learn it as the pair to knisa.,אֵיפֹה הַיְּצִיאָה הַקְּרוֹבָה?,Eifo ha-yetzia ha-krova?,Where's the nearest exit?,Nouns · Places,102
Lake,אֲגַם,Agam,pl. Agamim אֲגַמִּים,a-GAM — a lake you'd want to go swimming in AGAIN.,הָאֲגַם שָׁקֵט בַּבֹּקֶר.,Ha-agam shaket ba-boker.,The lake is quiet in the morning.,Nouns · Places,102
Truck / van,מַשָּׂאִית,Masa'it,pl. Masa'iot מַשָּׂאִיּוֹת,"ma-sa-EET — from masa, ""a load"". A truck is ""the load-carrier"".",הַמַּשָּׂאִית חוֹסֶמֶת אֶת הַדֶּרֶךְ.,Ha-masa'it chosemet et ha-derech.,The truck is blocking the road.,Nouns · Places,102
Service / bathroom (pl.),שֵׁרוּת,Sherut,pl. Sherutim שֵׁרוּתִים,"she-ROOT — from lesharet, to serve. Useful trap: in the plural, sherutim means ""the toilets"". A sherut is also a shared taxi.","אֵיפֹה הַשֵּׁרוּתִים, בְּבַקָּשָׁה?","Eifo ha-sherutim, bevakasha?","Where's the bathroom, please?",Nouns · Places,102
Weekend,סוֹף שָׁבוּעַ,Sof shavua,,"sof = end, shavua = week. ""End of week"" — and in Israel that's Friday–Saturday, not Saturday–Sunday.",מָה אַתְּ עוֹשָׂה בְּסוֹף שָׁבוּעַ?,Ma at osa be-sof shavua?,What are you doing this weekend?,Nouns · Places,102
Book,סֵפֶר,Sefer,pl. Sfarim סְפָרִים,"SEH-fer — the Sefer Torah. Also sofer (writer), sifriya (library), sipur (story) — one big family.",הַסֵּפֶר הַזֶּה מְעַנְיֵן מְאוֹד.,Ha-sefer ha-ze me'anyen me'od.,This book is very interesting.,Nouns · Words & paper,103
Story,סִפּוּר,Sipur,pl. Sipurim סִפּוּרִים,"see-POOR — from lesaper (to tell). ""Ze sipur acher"" = ""that's another story.""",סָבָּא מְסַפֵּר סִפּוּר לִפְנֵי הַשֵּׁנָה.,Saba mesaper sipur lifnei ha-sheina.,Grandpa tells a story before bed.,Nouns · Words & paper,103
Word,מִלָּה,Mila,pl. Milim מִלִּים,mee-LA — a MILLION words to learn. (Mila also means circumcision — brit mila — from a different root.),אֲנִי לוֹמֶדֶת חָמֵשׁ מִלִּים חֲדָשׁוֹת כָּל יוֹם.,Ani lomedet chamesh milim chadashot kol yom.,I learn five new words every day.,Nouns · Words & paper,103
Page / pillar,עַמּוּד,Amud,pl. Amudim עַמּוּדִים,"a-MOOD — from la'amod (to stand): a pillar stands, and a page ""stands"" in a book. Same word for both.",תִּפְתְּחוּ אֶת הַסֵּפֶר בְּעַמּוּד עֶשְׂרִים.,Tiftechu et ha-sefer be-amud esrim.,Open the book to page twenty.,Nouns · Words & paper,103
Lesson / class,שִׁיעוּר,Shiur,pl. Shiurim שִׁיעוּרִים,"shee-OOR — a shiur is a Torah class, and also a school lesson. Shiurei bayit = homework.",יֵשׁ לִי שִׁיעוּר עִבְרִית בְּאַרְבַּע.,Yesh li shiur ivrit be-arba.,I have a Hebrew lesson at four.,Nouns · Words & paper,103
To begin / to start,מַתְחִיל / מַתְחִילָה,Matchil / Matchila,inf. Le-hatchil לְהַתְחִיל,mat-CHEEL — you start and then you CHILL. Hatchala = a beginning.,הַסֶּרֶט מַתְחִיל בִּשְׁמוֹנֶה.,Ha-seret matchil be-shmoneh.,The movie starts at eight.,Verbs · Change,106
To continue,מַמְשִׁיךְ / מַמְשִׁיכָה,Mamshich / Mamshicha,inf. Le-hamshich לְהַמְשִׁיךְ,mam-SHEECH — you keep going and it's a long SCHLEP. Hemshech = a sequel/continuation.,תַּמְשִׁיכִי לָלֶכֶת יָשָׁר.,Tamshichi lalechet yashar.,Keep walking straight ahead.,Verbs · Change,106
To finish,גּוֹמֵר / גּוֹמֶרֶת,Gomer / Gomeret,inf. Lig-mor לִגְמֹר,"GO-mer — ""GO, MORE? No — I'm done."" Gamarnu! = ""We're finished!""",אֲנִי גּוֹמֶרֶת אֶת הָעֲבוֹדָה בְּחָמֵשׁ.,Ani gomeret et ha-avoda be-chamesh.,I finish work at five.,Verbs · Change,106
To stop,עוֹצֵר / עוֹצֶרֶת,Otzer / Otzeret,inf. La-atzor לַעֲצֹר,"oh-TSER — the red octagon says עֲצוֹר (atzor) on every Israeli road. Think ""OH! STOP-zer.""",הָאוֹטוֹבּוּס עוֹצֵר בַּתַּחֲנָה הַבָּאָה.,Ha-otobus otzer ba-tachana ha-ba'a.,The bus stops at the next station.,Verbs · Change,106
To change,מְשַׁנֶּה / מְשַׁנָּה,Meshane / Meshana,inf. Le-shanot לְשַׁנּוֹת,"me-sha-NEH — shana = year, and every year things change. Lo meshane = ""it doesn't matter / never mind"".",הוּא מְשַׁנֶּה אֶת הַתָּכְנִית כָּל יוֹם.,Hu meshane et ha-tochnit kol yom.,He changes the plan every day.,Verbs · Change,106
Early,מוּקְדָם / מוּקְדֶמֶת,Mukdam / Mukdemet,pl. Mukdamim / Mukdamot מוּקְדָמִים / מוּקְדָמוֹת,"muk-DAM — from kodem, ""before/prior"". Also used as an adverb: ""Kamti mukdam"" = ""I got up early"".",הִגַּעְתִּי מֻקְדָּם לַפְּגִישָׁה.,Higati mukdam la-pgisha.,I arrived early to the meeting.,Adjectives · Time,107
Late,מְאוּחָר / מְאוּחֶרֶת,Me'uchar / Me'ucheret,pl. Me'ucharim / Me'ucharot מְאוּחָרִים / מְאוּחָרוֹת,"me-u-CHAR — from achar, ""after"". Related to acharei (after) and acharon (last) — a whole family.","כְּבָר מְאוּחָר, אֲנִי הוֹלֵךְ הַבַּיְתָה.","Kvar me'uchar, ani holech ha-baita.","It's already late, I'm going home.",Adjectives · Time,107
First,רִאשׁוֹן / רִאשׁוֹנָה,Rishon / Rishona,pl. Rishonim / Rishonot רִאשׁוֹנִים / רִאשׁוֹנוֹת,"ree-SHON — from rosh (head): first is at the head. Yom rishon = Sunday, the ""first day"".",זֶה הַפַּעַם הָרִאשׁוֹנָה שֶׁלִּי פֹּה.,Ze ha-pa'am ha-rishona sheli po.,This is my first time here.,Adjectives · Time,107
Last,אַחֲרוֹן / אַחֲרוֹנָה,Acharon / Acharona,pl. Acharonim / Acharonot אַחֲרוֹנִים / אַחֲרוֹנוֹת,"a-cha-RON — from achar, after. The last one comes after everyone. Pairs with rishon.",זֶה הָאוֹטוֹבּוּס הָאַחֲרוֹן לַלַּיְלָה.,Ze ha-otobus ha-acharon la-laila.,This is the last bus of the night.,Adjectives · Time,107
Ready,מוּכָן / מוּכָנָה,Muchan / Muchana,pl. Muchanim / Muchanot מוּכָנִים / מוּכָנוֹת,"mu-CHAN — from lehachin, to prepare. ""At muchana?"" = ""Are you ready?"" — you'll hear it constantly.","הָאֲרוּחָה מוּכָנָה, בּוֹאוּ לֶאֱכוֹל.","Ha-arucha muchana, bo'u le-echol.","The meal is ready, come eat.",Adjectives · Time,107
Pen,עֵט,Et,pl. Etim עֵטִים,"ET — two letters, like a pen stroke. Careful with the sound-alike et (אֶת), the object marker you use in every sentence.",יֵשׁ לְךָ עֵט? אֲנִי רוֹצָה לִכְתֹּב מַשֶּׁהוּ.,Yesh lecha et? Ani rotza lichtov mashehu.,Do you have a pen? I want to write something.,Nouns · Words & paper,108
Pencil,עִפָּרוֹן,Iparon,pl. Efronot עֶפְרוֹנוֹת,"ee-pa-RON — from afar, ""dust/graphite"". A pencil is the dusty writer.","הָעִפָּרוֹן שָׁבוּר, צָרִיךְ לְחַדֵּד אוֹתוֹ.","Ha-iparon shavur, tzarich lechadhed oto.","The pencil is broken, it needs sharpening.",Nouns · Words & paper,108
Notebook,מַחְבֶּרֶת,Machberet,pl. Machbarot מַחְבָּרוֹת,"mach-BEH-ret — from lechaber, ""to join/compose"": a notebook is bound pages joined together. Chaver (friend) is the same root — one who is joined to you.",אֲנִי כּוֹתֶבֶת אֶת הַמִּלִּים בַּמַּחְבֶּרֶת.,Ani kotevet et ha-milim ba-machberet.,I write the words in the notebook.,Nouns · Words & paper,108
Chalk,גִּיר,Gir,pl. Girim גִּירִים,"GEER — chalk that makes you go ""GRR"" when it squeaks.",הַמּוֹרָה כּוֹתֶבֶת בְּגִיר עַל הַלּוּחַ.,Ha-mora kotevet be-gir al ha-luach.,The teacher writes with chalk on the board.,Nouns · Words & paper,108
Line,קַו,Kav,pl. Kavim קַוִּים,"KAV — two letters, straight like a line. Also a bus route: kav 5 = the number 5 line.",צַיֵּר קַו יָשָׁר בַּמַּחְבֶּרֶת.,Tzayer kav yashar ba-machberet.,Draw a straight line in the notebook.,Nouns · Words & paper,108
Letter / message,מִכְתָּב,Michtav,pl. Michtavim מִכְתָּבִים,mich-TAV — from lichtov (to write). Note: this is a letter you MAIL. A letter of the alphabet is an ot.,קִבַּלְתִּי מִכְתָּב מֵהַבַּנְק.,Kibalti michtav me-ha-banak.,I got a letter from the bank.,Nouns · Words & paper,109
Newspaper,עִתּוֹן,Iton,pl. Itonim עִתּוֹנִים,"ee-TON — from et, ""time"": a newspaper is ""the time-thing"", like the English ""Times"".",אַבָּא קוֹרֵא עִתּוֹן כָּל בֹּקֶר.,Aba kore iton kol boker.,Dad reads a newspaper every morning.,Nouns · Words & paper,109
News,—,— (plural only),pl. Chadashot חֲדָשׁוֹת,"cha-da-SHOT — literally ""new things"", the plural of chadash (new). Only ever used in the plural.",הַחֲדָשׁוֹת מַתְחִילוֹת בִּשְׁמוֹנֶה.,Ha-chadashot mat-chilot be-shmoneh.,The news starts at eight.,Nouns · Words & paper,109
Number,מִסְפָּר,Mispar,pl. Misparim מִסְפָּרִים,"mis-PAR — from lispor, ""to count"". Sounds like ""miss PAR"" — off by a number.",מָה מִסְפַּר הַטֶּלֶפוֹן שֶׁלְּךָ?,Ma mispar ha-telefon shelcha?,What's your phone number?,Nouns · Words & paper,109
